Frame,Person
0,[31]
1,[31]
2,[31]
3,[31]
4,[31]
5,[31]
6,[31]
7,[31]
8,[31]
9,[31]
10,[31]
11,[31]
12,[31]
13,[31]
14,[31]
15,[31]
16,[31]
17,[31]
18,[31]
19,[31]
20,[31]
21,[31]
22,[31]
23,[31]
24,[31]
25,[31]
26,[31]
27,[31]
28,[31]
29,[31]
30,[31]
31,[31]
32,[31]
33,[31]
34,[31]
35,[31]
36,[31]
37,[31]
38,[31]
39,[31]
40,[31]
41,[31]
42,[31]
43,[31]
44,[31]
45,[31]
46,[31]
47,[31]
48,[31]
49,[31]
50,[31]
51,[31]
52,[31]
53,[31]
54,[31]
55,[31]
56,[31]
57,[31]
58,[31]
59,[31]
60,[31]
61,[31]
62,[31]
63,[31]
64,[31]
65,[31]
66,[31]
67,[31]
68,[31]
69,[31]
70,[31]
71,[31]
72,[31]
73,[31]
74,[31]
75,[31]
76,[31]
77,[31]
78,[31]
79,[31]
80,[31]
81,[31]
82,[31]
83,[31]
84,[31]
85,[31]
86,[31]
87,[31]
88,[31]
89,[31]
90,[31]
91,[31]
92,[31]
93,[31]
94,[31]
95,[31]
96,[31]
97,[31]
98,[31]
99,[31]
100,[31]
101,[31]
102,[31]
103,[31]
104,[31]
105,[31]
106,[31]
107,[31]
108,[31]
109,[31]
110,[31]
111,[31]
112,[31]
113,[31]
114,[31]
115,[31]
116,[31]
117,[31]
118,[31]
119,[31]
120,[31]
121,[31]
122,[31]
123,[31]
124,[31]
125,[31]
126,[31]
127,"[28, 31]"
128,"[28, 31]"
129,"[28, 31]"
130,"[28, 31]"
131,"[28, 31]"
132,"[28, 31]"
133,"[28, 31]"
134,"[28, 31]"
135,"[28, 31]"
136,"[28, 31]"
137,"[28, 31]"
138,"[28, 31]"
139,"[28, 31]"
140,"[28, 31]"
141,"[28, 31]"
142,"[28, 31]"
143,"[28, 31]"
144,[28]
145,[31]
146,[31]
147,[31]
148,"[28, 31]"
149,"[28, 31]"
150,[28]
151,[28]
152,[28]
153,[28]
154,[28]
155,[28]
156,[31]
157,"[28, 31]"
158,[28]
159,[28]
160,[28]
161,[28]
162,[28]
163,[28]
164,[28]
165,[28]
166,[28]
167,[28]
168,[28]
169,[28]
170,[28]
171,[28]
172,[28]
173,[28]
174,[28]
175,[28]
176,[28]
177,[28]
178,[28]
179,[28]
180,[28]
181,[28]
182,[28]
183,"[28, 31]"
184,"[2, 14, 18, 28]"
185,[28]
186,[28]
187,[]
188,[28]
189,[28]
190,[28]
191,[28]
192,[28]
193,[31]
194,[28]
195,[28]
196,"[28, 31]"
197,"[28, 31]"
198,"[28, 31]"
199,"[28, 31]"
200,"[28, 31]"
201,"[28, 31]"
202,"[28, 31]"
203,"[28, 31]"
204,[28]
205,[28]
206,[28]
207,[28]
208,[28]
209,[28]
210,[28]
211,[28]
212,"[28, 31]"
213,[28]
214,[28]
215,"[28, 31]"
216,[28]
217,[28]
218,[28]
219,[31]
220,[28]
221,[28]
222,[28]
223,"[28, 31]"
224,[28]
225,"[28, 31]"
226,[28]
227,[]
228,"[28, 31]"
229,[28]
230,"[28, 31]"
231,[28]
232,[28]
233,[28]
234,[28]
235,[28]
236,[28]
237,[28]
238,[28]
239,[28]
240,[28]
241,[28]
242,[28]
243,[28]
244,"[28, 31]"
245,"[28, 31]"
246,"[28, 31]"
247,"[28, 31]"
248,"[28, 31]"
249,"[28, 31]"
250,"[28, 31]"
251,[28]
252,[28]
253,[28]
254,[28]
255,[28]
256,[28]
257,[28]
258,[28]
259,[28]
260,[28]
261,[28]
262,[28]
263,[28]
264,[28]
265,[28]
266,[28]
267,[28]
268,[28]
269,[28]
270,[28]
271,[28]
272,"[28, 31]"
273,"[28, 31]"
274,"[28, 31]"
275,"[28, 31]"
276,[28]
277,[28]
278,[28]
279,[28]
280,"[28, 31]"
281,[28]
282,[28]
283,[28]
284,[28]
285,[28]
286,[28]
287,"[28, 31]"
288,[28]
289,[28]
290,[28]
291,[28]
292,[28]
293,[28]
294,[28]
295,[28]
296,[28]
297,[28]
298,[28]
299,[28]
300,[28]
301,[28]
302,[28]
303,[28]
304,[28]
305,[28]
306,[28]
307,[28]
308,[28]
309,[28]
310,[28]
311,[28]
312,[28]
313,[28]
314,[28]
315,[28]
316,[28]
317,[28]
318,[28]
319,[28]
320,[28]
321,[28]
322,[28]
323,[28]
324,[28]
325,[28]
326,[28]
327,[28]
328,[28]
329,[28]
330,[28]
331,[28]
332,[28]
333,[28]
334,[28]
335,[28]
336,[28]
337,[28]
338,[28]
339,[28]
340,[28]
341,[28]
342,[28]
343,"[28, 31]"
344,[28]
345,[28]
346,"[28, 31]"
347,"[28, 31]"
348,[28]
349,[28]
350,[28]
351,"[28, 31]"
352,[28]
353,[28]
354,[28]
355,[28]
356,[28]
357,[28]
358,[28]
359,[28]
360,[28]
